V20220630 0 0 0 0 0 0
jp.naver.line.android 1 1 0 12 4 -1
com.whatsapp 1 1 0 12 4 -1
com.facebook.orca 0 1 0 12 4 -1
com.discord 0 1 0 12 4 -1
com.tencent.mm 1 1 0 12 4 -1
com.whatsapp.w4b 1 1 0 12 4 -1
com.zing.zalo 0 1 0 12 4 -1
com.viber.voip 0 1 0 12 4 -1
com.tencent.mobileqq 0 1 0 12 4 -1
com.skype.raider 0 1 0 12 4 -1
com.facebook.katana 1 1 0 12 4 -1
com.instagram.android 0 1 0 12 4 -1
com.ss.android.ugc.trill 0 1 0 12 4 -1
com.ss.android.ugc.aweme 0 1 0 12 4 -1
com.zhiliaoapp.musically 0 1 0 12 4 -1
sg.bigo.live 0 1 0 12 4 -1
com.lang.lang 0 1 0 12 4 -1
com.tencent.wemeet.app 0 1 0 12 4 -1
com.tencent.voov 0 1 0 12 4 -1
com.acfantastic.moreinlive 0 1 0 12 4 -1
com.asiainno.uplive 0 1 0 12 4 -1
com.machipopo.media17 1 1 0 12 4 -1
chat.meme.inke 0 1 0 12 4 -1
tv.twitch.android.app 0 1 0 12 4 -1
com.google.android.apps.tachyon 0 1 0 12 4 -1
org.thoughtcrime.securesms 0 1 0 12 4 -1
com.microsoft.teams 1 1 0 12 4 -1
us.zoom.videomeetings 1 1 0 12 4 -1
com.google.android.apps.meetings 1 1 0 12 4 -1
com.google.android.googlequicksearchbox 1 0 0 1 4 -1
